type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,
normal,10,14,1,"Nowadays it is common practise to use electronic submissions for conferences, workshops and journals.",FALSE,,,,,,,,,,,,,,
normal,9,10,2,"Usually, people are allowed to send their submission by email.",FALSE,,,,,,,,,,,,,,
normal,19,24,3,"Although, compared to sending hardcopies by surface mail, this is a big step forward, it may still be quite cumbersome to maintain the administration.",FALSE,,,,,,,,,,,,,,
normal,20,31,4,"Moreover, collecting, maintaining and comparing reviews by the program committee chair may also become quite tedious, if not troublesome, due to the large amount of material, even when submitted by email.",FALSE,,,,,,,,,,,,,,
normal,30,46,5,A very important issue for the conference organization is that using CyberChair will save them a lot of money on copying papers and mailing the papers to the reviewers (which might open up room to delegate the management of the submission and review process - see below).,FALSE,,,,,,,,,,,,,,
normal,34,61,6,"In short, CyberChair fully supports all activities that come with the review process: the abstract and (camera-ready) paper submission, the reviewer assignment (based on the reviewers' preferences and expertise), the review submission process, the notifications of acceptance and rejection, the preparation of the proceedings (according to the Springer-Verlag procedure), and the abstracts for the conference website and program booklet.",FALSE,,,,,,,,,,,,,,
normal,20,30,7,"It was first developed for ECOOP'97, and has been extended since, based on new ideas and the suggestions and remarks of its users (the chairs, the reviewers and submitters).",FALSE,,,,,,,,,,,,,,
normal,8,12,8,Here is an overview of the activities CyberChair supports or carries out.,FALSE,,,,,,,,,,,,,,
normal,14,24,9,"CyberChair is based on the paper Identify the Champion, an organisational pattern language for programme committees, by Professor Oscar Nierstrasz (University of Berne, Switzerland).",FALSE,,,,,,,,,,,,,,
normal,16,25,10,"CyberChair's functionality is described in detail in a paper, which is titled CyberChair: A Web-Based Groupware Application to Facilitate the Paper Reviewing Process.",FALSE,,,,,,,,,,,,,,
normal,20,39,11,"Jean-Guy Schneider, Markus Lumpe and Oscar Nierstrasz describe CyberChair in Agent Coordination via Scripting Languages, Chapter 6 of the book Coordination of Internet Agents: Models, Technologies and Applications, Andrea Omic, Fanco Zambonelli, Matthias Klusch and Robert Tolksdorf (Eds.)",FALSE,,,,,,,,,,,,,,
normal,7,10,12,", Springer, March 2001 (section 6.4.1, page 168).",FALSE,,,,,,,,,,,,,,
normal,5,10,13,Below is a description of the latest version of CyberChair.,FALSE,,,,,,,,,,,,,,
normal,17,23,14,"You may also want to take a look at 2 posters: an overview (, 140 Kb) and a picture containing screenshots (, 1.71 Mb).",FALSE,,,,,,,,,,,,,,
normal,14,18,15,"The original poster is in B1 format, so you may need to zoom in to read all details.",FALSE,,,,,,,,,,,,,,
list-start,7,11,16,"You may try a demonstration version of CyberChair, by acting as:",FALSE,,,,,,,,,,,,,,
list-member,13,8,17,1) Author - This only allows submission of abstracts.,FALSE,,,,,,,,,,,,,,
normal,19,28,18,"The submission form in phase 2 is the same as the submission form in phase 1, except that authors must use it to upload their full paper file.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,author;upload;full paper file,,,,,,,,
normal,9,13,19,"To avoid 'pollution' of the demo data, uploading of files has been blocked.",FALSE,,,,,,,,,,,,,,
normal,9,15,20,"2) Reviewer - Use the first and last name (in lowercase) as login and password, respectively.",FALSE,,,,,,,,,,,,,,
normal,8,9,21,You can submit reviews and find out what happens.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,you;submit;review,you;find;happen what,,,,,,,
normal,13,18,22,Please put or leave the 'Would you like to receive a copy of your review per e-mail?',FALSE,,,,,,,,,,,,,,
normal,10,15,23,"at 'No', because each 'reviewer' has been assigned a bogus email address, which will bounce.",FALSE,,,,,,,,,,,,,,
