type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,
title,2,3,1,Course Registration Requirements,FALSE,,,,,,,,,,,,,,,,,
title,2,2,2,Version  2004,FALSE,,,,,,,,,,,,,,,,,
title,1,2,3,Problem Statement,FALSE,,,,,,,,,,,,,,,,,
normal,9,19,4,As the head of information systems for Wylie College you are tasked with developing a new student registration system.,FALSE,,,,,,,,,,,,,,,,,
normal,13,19,5,The college would like a new client-server system to replace its much older system developed around mainframe technology.,FALSE,,,,,,,,,,,,,,,,,
normal,14,22,6,The new system will allow students to register for courses and view report cards from personal computers attached to the campus LAN.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;view;card,student;register;course,,,,,,,,,,
normal,15,19,7,Professors will be able to access the system to sign up to teach courses as well as record grades.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,professors;access;system,professors;sign;teach course,professors;record;grade,,,,,,,,,
normal,11,18,8,"Due to a decrease in federal funding, the college cannot afford to replace the entire system at once.",FALSE,,,,,,,,,,,,,,,,,
normal,10,15,9,The college will keep the existing course catalog database where all course information is maintained.,FALSE,,,,,,,,,,,,,,,,,
normal,6,12,10,This database is an Ingres relational database running on a DEC VAX.,FALSE,,,,,,,,,,,,,,,,,
normal,12,20,11,Fortunately the college has invested in an open SQL interface that allows access to this database from college’s Unix servers.,FALSE,,,,,,,,,,,,,,,,,
normal,15,27,12,"The legacy system performance is rather poor, so the new system must ensure that access to the data on the legacy system occurs in a timely manner.",FALSE,,,,,,,,,,,,,,,,,
normal,10,16,13,The new system will access course information from the legacy database but will not update it.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,system;access;legacy database,system;access;course information,system;update;it;NEG-not,,,,,,,,,
normal,9,12,14,The registrar’s office will continue to maintain course information through another system.,FALSE,,,,,,,,,,,,,,,,,
normal,11,21,15,"At the beginning of each semester, students may request a course catalogue containing a list of course offerings for the semester.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;request;course catalogue,student;request;list,student;request;course offering,student;request;semester,,,,,,,,
normal,15,19,16,"Information about each course, such as professor, department, and prerequisites, will be included to help students make informed decisions.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,student;include;course,student;include;professor,student;include;department,student;include;prerequisite,,,,,,,,
normal,10,15,17,The new system will allow students to select four course offerings for the coming semester.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;select;course offering,student;select;semester,,,,,,,,,,
normal,15,20,18,"In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;indicate;alternative choice,,,,,,,,,,,
normal,9,15,19,Course offerings will have a maximum of ten students and a minimum of three students.,FALSE,,,,,,,,,,,,,,,,,
normal,8,11,20,A course offering with fewer than three students will be canceled.,FALSE,,,,,,,,,,,,,,,,,
normal,12,15,21,"For each semester, there is a period of time that students can change their schedule.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;change;schedule,,,,,,,,,,,
normal,13,16,22,Students must be able to access the system during this time to add or drop courses.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,student;access;system,student;add;course,student;drop;course,,,,,,,,,
normal,15,27,23,"Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,registration system;send;information,registration system;send;information,,,,,,,,,,
normal,13,24,24,"If a course fills up during the actual registration process, the student must be notified of the change before submitting the schedule for processing.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,student;notify;change,,,,,,,,,,,
normal,12,21,25,"At the end of the semester, the student will be able to access the system to view an electronic report card.",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,student;access;system,student;view;electronic report card,,,,,,,,,,
normal,12,17,26,"Since student grades are sensitive information, the system must employ extra security measures to prevent unauthorized access.",FALSE,,,,,,,,,,,,,,,,,
normal,15,18,27,Professors must be able to access the on-line system to indicate which courses they will be teaching.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,professors;access;on-line system,professors;indicate;teaching course,,,,,,,,,,
