,type,AccessControl,Xiao_AC,Sentence
1,normal,1,0,An HCP creates patients.
2,normal,1,0,The HCP enters a patient as a new user of system.
3,normal,1,0,Only the name and email are provided by the HCP.
11,normal,1,0,"An admin creates a LHCP, an ER and a public health agent."
12,normal,1,0,A LHCP creates UAPs.
13,normal,1,0,System presents an approvel screen.
14,normal,1,0,"An administrator enters a LHCP, an ER, or a public healh agent."
22,normal,1,0,A user enters their MID and their password to gain role-based entry into iTrust.
25,normal,1,0,An authenticated session ends when the user logs out or closes the iTrust application.
30,normal,1,0,Demographic information is entered.
31,normal,1,0,Demographic information is edited.
32,normal,1,0,System presents a success or failure message to the editor.
34,normal,1,0,"An administrator enters a LHCP, an ER or a public health agent as a user of system."
35,normal,1,0,Initially only the name and email are provided.
42,normal,1,0,A LHCP enters an UAP as a user of system according to data format 6.2 (all fields mandatory).
44,normal,1,0,"Any event which views, creates, edits or deletes information is logged."
45,normal,1,0,"Loggin failures, valid authentication and log outs are also logged."
48,normal,1,0,The patient views all LHCPs the patient has ever had an office visit with and those whom he or she had designated.
51,normal,1,0,"The LHCP's name, specialty, address, date of office visit, and whether or not the LHCP is a DLHCP for this patient is indicated."
52,normal,1,0,The list is sorted by the date of the last office visit (most recent first).
57,normal,1,0,"The LHCP name, specialty, and  address are provided."
60,normal,1,0,The patient then chooses the beginning and end date for the period of time.
71,normal,1,0,An HCP enters a patient.
72,normal,1,0,An HCP edits patient.
73,normal,1,0,The information is viewed.
74,normal,1,0,The information is edited.
75,normal,1,0,The health care personnel enters a MID of a patient and confirms their selection.
80,normal,1,0,"System presents a line chart giving the chosen measurements (either height or weight) of the patient spanning the last 3 calendar years of data, averaged by quarters (January-March, April-June, July-September, October-December)."
81,normal,1,0,System presents an automatically-calculated value of BMI calculated based on the formula.
84,normal,1,0,An HCP edits an office visit.
85,normal,1,0,The HCP enters a MID  or name of a patient and confirms their selection.
86,normal,1,0,The HCP then documents the office visit date and hospital location of the office visit.
87,normal,1,0,The HCP notes about an office visit.
90,normal,1,0,All events are logged.
94,normal,1,0,The HCP selects a medication prescribed from a pull down list.
95,normal,1,0,"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions."
100,normal,1,0,The software tester authenticates himself in the iTrust.
101,normal,1,0,System presents the actual operational profile of the operations of the iTrust.
103,normal,1,0,A patient's DLHCP adds a patient's personal representative by typing that person's MID.
104,normal,1,0,A patient's DLHCP deletes a patient's personal representative by typing that person's MID.
108,normal,1,0,The administrator stores the CPT code and the name of the immunization.
110,normal,1,0,"The administrator stores the ICD-9CM code, a classification and the name of the diagnosis."
112,normal,1,0,The administrator stores the National Drug Code.
114,normal,1,0,The administrator stores information of a LOINC code.
116,normal,1,0,An LHCP chooses a chronic disease and a patient.
119,normal,1,0,"When the chosen patient satisfies the preconditions of the chosen chronic disease, the LHCP is provided with a warning message."
120,normal,1,0,The message displays the risk factors that the patients exhibit.
122,normal,1,0,An HCP chooses Office Visit Reminders.
123,normal,1,0,"An HCP identifies chronic patients who need an office visit, older patients who need a flu shot, or any patient who is overdue for an immunization."
124,normal,1,0,System presents a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.
126,normal,1,0,"The list is sorted based on the alphabetical order of the patients' last names, and then first names."
128,normal,1,0,An administrator maintains the hospital listing.
129,normal,1,0,The administrator stores hospital Id number for the hospital and the name of the hospital.
130,normal,1,0,"The administrator adds a new entry for a hospital, or modify the hospital name in an existing entry."
134,normal,1,0,"A patient, personal representative or LHCP views prescription reports."
135,normal,1,0,A message is sent to the patient and their personal representative.
137,normal,1,0,A prescription list is then displayed.
138,normal,1,0,A prescription list is sorted by start date.
139,normal,1,0,LHCP selects a patient from the list of requested reports.
141,normal,1,0,The prescription report is titled with the patient name.
142,normal,1,0,"The prescription list includes medication, date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication."
144,normal,1,0,A LHCP or ER views an emergency report and provides an MID.
146,normal,1,0,The LHCP or ER enters a MID and confirms the input.
153,normal,1,0,"The administrator adds a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes."
154,normal,1,0,The administrator modifies the duration in an existing entry.
158,normal,1,0,The LHCP schedules an appointment with a patient.
159,normal,1,0,"The LHCP enters the patient MID, selects the type of appointment from a pull-down menu of the existing appointment types, enters the appointment date and time, enters comment (optional) up to 1000 characters such as reason for the appointment."
160,normal,1,0,An LHCP views a list of his upcoming appointments.
161,normal,1,0,A patient views a list of his upcoming appointments.
162,normal,1,0,The user opens his upcoming appointment list.
163,normal,1,0,"Each row in the list includes the appointment type, appointment date and time, duration, and the name of either the patient or the LHCP."
167,normal,1,0,"When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment."
171,normal,1,0,The LHCP requests a comprehensive patient report for a particular patient.
173,normal,1,0,The LHCP enters a patient's MID and confirms his input.
177,normal,1,0,The answers to the survey are stored.
