type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,
title,6,7,1,UC1 Create and Disable Patients Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,4,2,An HCP creates patients.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;create;patient,,,,,,,,,,,,,,
normal,6,11,3,The HCP enters a patient as a new user of system.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;patient,,,,,,,,,,,,,,
normal,6,10,4,Only the name and email are provided by the HCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;provide;name,hcp;provide;email,,,,,,,,,,,,,
normal,7,10,5,The HCP can edit the patient according to data format.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;edit;patient,,,,,,,,,,,,,,
normal,3,6,6,Patient MID should be the number.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,7,7,The patient’s MID can not be edited.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;edit;mid;NEG-not,,,,,,,,,,,,,,
normal,10,16,8,The HCP does not have the ability to enter the patient's security question and password.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;enter;security question;NEG-not,hcp;enter;password;NEG-not,,,,,,,,,,,,,
normal,10,16,9,The HCP does not have the ability to edit the patient's security question and password.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;edit;security question;NEG-not,hcp;edit;password;NEG-not,,,,,,,,,,,,,
normal,10,16,10,The HCP does not have the ability to view the patient's security question and password.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,hcp;view;security question;NEG-not,hcp;view;password;NEG-not,,,,,,,,,,,,,
title,7,8,11,"UC2 Create, Disable, and Edit Personnel Use Case",FALSE,,,,,,,,,,,,,,,,,,,,
normal,5,12,12,"An admin creates a LHCP, an ER and a public health agent.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,admin;create;lhcp,admin;create;er,admin;create;public health agent,,,,,,,,,,,,
normal,3,4,13,A LHCP creates UAPs.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;create;uap,,,,,,,,,,,,,,
normal,3,5,14,System presents an approvel screen.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;approvel screen,,,,,,,,,,,,,,
normal,5,12,15,"An administrator enters a LHCP, an ER, or a public healh agent.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;enter;lhcp,administrator;enter;er,administrator;enter;public healh agent,,,,,,,,,,,,
normal,12,19,16,"A secret key is personally provided to the user, with which the user can reset his or her password.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;provide;secret key,user;reset;password,,,,,,,,,,,,,
normal,13,21,17,"The admin must specify a specialty for a new LHCP (one of: General Physician, Heart Surgeon, OB or GYN, Pediatrician, Surgeon).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,admin;specify;specialty,admin;specify;lhcp,,,,,,,,,,,,,
normal,8,11,18,The data for personnel can be edited according to Data Format.,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;edit;datum,,,,,,,,,,,,,,
normal,9,12,19,The administrator shall be allowed to assign a LHCP to multiple hospitals.,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,administrator;assign;lhcp,administrator;assign;hospital,,,,,,,,,,,,,
normal,4,6,20,The administrator can choose the hospitals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;choose;hospital,,,,,,,,,,,,,,
normal,5,16,21,The hospital ID numbers for a LHCP are stored in the Medical Care Personnel Affiliation database.,FALSE,,,,,,,,,,,,,,,,,,,,
title,2,5,22,UC3 Authenticate Users Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,15,23,A user enters their MID and their password to gain role-based entry into iTrust.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;enter;mid,user;enter;password,,,,,,,,,,,,,
normal,7,8,24,A user can request to change their password.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;request change;password,,,,,,,,,,,,,,
normal,9,11,25,A session that has been inactive for too long is terminated.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,14,26,An authenticated session ends when the user logs out or closes the iTrust application.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;log out;itrust application,user;close;itrust application,,,,,,,,,,,,,
normal,5,11,27,"Electronic sessions must terminate after a ""pre-determined"" period of inactivity.",FALSE,,,,,,,,,,,,,,,,,,,,
normal,9,13,28,The administrator is allowed to set the length of this period of time.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;set;length,,,,,,,,,,,,,,
normal,10,13,29,All authorization is disabled after a period of inactivity that exceeds this length.,FALSE,,,,,,,,,,,,,,,,,,,,
title,6,7,30,UC4 Enter or Edit Demographics Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,4,31,Demographic information is entered.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;enter;demographic information,,,,,,,,,,,,,,
normal,3,4,32,Demographic information is edited.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;edit;demographic information,,,,,,,,,,,,,,
normal,6,10,33,System presents a success or failure message to the editor.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,editor;present;message,,,,,,,,,,,,,,
normal,7,10,34,The editor may correct the form or add more information.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,editor;correct;form,editor;add;information,,,,,,,,,,,,,
normal,7,17,35,"An administrator enters a LHCP, an ER or a public health agent as a user of system.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;enter;lhcp,administrator;enter;er,administrator;enter;public health agent,,,,,,,,,,,,
normal,6,8,36,Initially only the name and email are provided.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;provide;email,;provide;name,,,,,,,,,,,,,
normal,12,19,37,"A secret key is personally provided to the user, with which the user can reset his or her password.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;reset;password,user;provide;secret key,,,,,,,,,,,,,
normal,12,19,38,"The admin must specify a specialty for a new LHCP (General Physician, Heart Surgeon, OB, GYN, Pediatrician, or Surgeon).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,admin;specify;specialty,admin;specify;lhcp,,,,,,,,,,,,,
normal,16,24,39,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2).,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,;edit;datum,,,,,,,,,,,,,,
normal,9,12,40,The administrator shall be allowed to assign a LHCP to multiple hospitals.,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,administrator;assign;lhcp,administrator;assign;hospital,,,,,,,,,,,,,
normal,4,6,41,The administrator can choose the hospitals.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;choose;hospital,,,,,,,,,,,,,,
normal,7,20,42,The hospital ID numbers for a LHCP are stored in the Medical Care Personnel Affiliation database (data format 5.11).,FALSE,,,,,,,,,,,,,,,,,,,,
normal,11,19,43,A LHCP enters an UAP as a user of system according to data format 6.2 (all fields mandatory).,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;uap,,,,,,,,,,,,,,
title,2,5,44,UC5 Log Transaction Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,11,45,"Any event which views, creates, edits or deletes information is logged.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;delete;event,;log;event,;create;event,;edit;event,,,,,,,,,,,
normal,6,10,46,"Loggin failures, valid authentication and log outs are also logged.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;log;loggin failure,;log;valid authentication,;log;log out,,,,,,,,,,,,
normal,6,10,47,These audit codes are summarized in the Audit & Transaction Codetable.,FALSE,,,,,,,,,,,,,,,,,,,,
title,11,13,48,UC6 View HCP Designate or Undesignate Designated Licensed Health Care Professional Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,16,22,49,The patient views all LHCPs the patient has ever had an office visit with and those whom he or she had designated.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;lhcp,patient;view have;office visit,,,,,,,,,,,,,
normal,14,23,50,The patient can add also a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;add;lhcp,patient;add;provider list,patient;search;specialty,patient;search;name,,,,,,,,,,,
normal,7,11,51,The patient can add the HCP to their list of providers.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;add;hcp,patient;add;list,patient;add;provider,,,,,,,,,,,,
normal,16,24,52,"The LHCP's name, specialty, address, date of office visit, and whether or not the LHCP is a DLHCP for this patient is indicated.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;indicate;name,patient;indicate;specialty,patient;indicate;address,patient;indicate;date,patient;indicate;lhcp,patient;indicate;dlhcp,,,,,,,,,
