type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,1,"Note: pages retrieved on January 10th, 2013.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,2,5,2,iTrust Medical Care Requirements Specification.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,2,3,Version 19.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,3,3,4,"September 21, 2011.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,5,Document Authors:.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,6,Laurie Williams.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,7,Tao Xie.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,8,Andy Meneely.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,9,Lauren Hayward.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,10,Jason King.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,11,1 Introduction.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,24,12,This project involves the development of an application through which doctors can obtain and share essential patient information and can view aggregate patient data.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,doctor;obtain;essential patient information,doctor;share;essential patient information,doctor;view;aggregate patient datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,19,29,13,"Currently, access to a patient's history regarding previous medical problems, previous surgery, medications, allergies and other factors is often difficult or obtainable only from a patient's recollection.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,15,14,"Now, as more hospitals and doctor's offices are automated, this information is available electronically.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,19,23,15,"However, it is not accessible by other doctors, and is often only viewed through some proprietary software so it can not be shared.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,28,16,"The final product is a site where health care workers can access important patient information, the non-emergency access can be controlled, and all access would be tracked.",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,health care worker;access;important patient information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,11,17,Security and privacy of such a system is of paramount importance.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,17,18,HIPAA rules protect patients' information and also allow a patient to dictate who can access this information.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,patient;dictate;access who can information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,2,19,2 Glossary.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,21,20,Approved diagnostic information: The set of diagnostic information a patient allows a designated or other licensed health care professional to view.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;allow;designate view diagnostic information,patient;allow;professional view diagnostic information,professional;view;diagnostic information,designate;view;diagnostic information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,26,21,"A patient is only given the choice to restrict viewing on selected diagnostic information, such as those related to mental illness, substance abuse, and cosmetic surgery.",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,patient;restrict;view diagnostic information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,22,22,The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,licensed health care professional;determine;ability,patient;restrict;viewing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,23,35,23,"For the diagnostic information which a patient can restrict viewing, he or she can choose to enable designated licensed health care professionals, possibly and possibly other licensed health care professionals, possibly and possibly no one.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,patient;restrict;viewing,he;choose;licensed health care professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,10,24,There are ten roles in the iTrust Medical Records system.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,15,25,The role of a user determines their viewing and editing capabilities (role-based access control).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,15,22,26,"Health Care Personnel (HCP): All of designated licensed health care professionals, licensed health care professionals, and unlicensed authorized personnel, as defined below.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,22,27,"Patient: When an American infant is born or a foreigner requests medical care, each is assigned a medical identification number and password.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,14,28,"Then, this person's electronic records are accessible via the iTrust Medical Records system.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,11,29,Administrator: The administrator assigns medical identification numbers and passwords to LHCPs.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;assign;medical identification number,administrator;assign;password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,23,30,Licensed Health Care Professional (LHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,patient;allow;licensed health care professional view all,licensed health care professional;view;all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,19,38,31,"In general, a patient does not know this non-designated health care professional, such as an emergency room doctor, and the set of approved records may be smaller than that granted to a designated licensed health care professional.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,24,32,Designated Licensed Health Care Professional (DLHCP): A licensed health care professional that is allowed by a particular patient to view all approved medical records.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,licensed health care professional;view;all,patient;allow;licensed health care professional view all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,21,33,33,Any LHCP can be a DLHCP to some patients (with whom he or she has an established relationship) and an LHCP to others (whom he or she has never or rarely seen before).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,22,29,34,"Emergency Responder (ER): Police, Fire, Emergency Medical Technicians (EMTs), and other medically trained emergency responders who provide care while at, or in transport from, the site of an emergency.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,28,35,"[referred to as ""on site care providers"" by Department of Health and Human Services Emergency Responder Electronic Health Record Use Case Department of Health and Human Services.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,23,36,"Unlicensed Authorized Personnel (UAP): A health care worker such as a medical secretary, case manager, care coordinator, or other authorized clerical-type personnel.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,21,37,"An unlicensed personnel can enter and edit demographic information, diagnosis, office visit notes and other medical information, and can view records.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,unlicensed personnel;enter;demographic information,unlicensed personnel;enter;diagnosis,unlicensed personnel;enter;office visit note,unlicensed personnel;enter;medical information,unlicensed personnel;view;record,unlicensed personnel;edit;demographic information,unlicensed personnel;edit;diagnosis,unlicensed personnel;edit;office visit note,unlicensed personnel;edit;medical information,,,,,,,,,,,,,,,,,,,,,,,
normal,5,13,38,Software Tester: An information technology worker who tests the iTrust Medical Records system.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,28,39,Of particular interest to the software tester is the operational profile information which informs him or her of the frequency of use of the features of the system.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,12,23,40,Personal Representative: A person legally authorized to make health care decisions on an individual's behalf or to act for a deceased individual.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,20,29,41,"When a person logs into iTrust, if he or she is a personal representative, they view their own records or those of the person or people they are representing.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,people;view;they,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
